key,title_norm,pubid,scholar_cites,has_scholar_id
bainbridge2022masks,gender differences and mask wearing an observational study on a university campus and a minimetaanalysis,rmuvC79q63oC,0,FALSE
barrett2014cultivation,from computers to cultivation reconceptualizing evolutionary psychology,70eg2SAEIzsC,103,FALSE
barrett2015biocultural,evolved biocultural beings who invented computers,pyW8ca7W8N0C,7,FALSE
bechsorensen2016matepreferences,sex differences in mate preferences a replication study 20 years later,NhqRSupF_l8C,117,FALSE
bilalic2022practice,when deliberate practice is not enough the role of intelligence practice and knowledge in academic performance,9pM33mqn1YgC,11,FALSE
bilalic2026selection,studying the best can mislead selection bias in expertise research,U4n9YNQMCAIC,0,FALSE
boothroyd2012visualdiet,visual diet versus associative learning as mechanisms of change in body size preferences,4JMBOYKVnBMC,91,FALSE
boothroyd2018adaptation,adaptationlike effects in body weight attractiveness are not simply norm based,olpn-zPbct0C,6,FALSE
bovet2022faceaurus,methodological issues when using face prototypes a case study on the faceaurus,-FonjvnnhkoC,12,FALSE
brown2021lonelinessfb,loneliness is negatively related to facebook,V3AGJWp-ZtQC,20,FALSE
buunk2009evosociaal,evolutionaire sociale psychologie,tS2w5q8j5-wC,0,FALSE
buunk2009heightcurvilinear,height is curvilinearly related to womens life history strategies,Wp0gIr-vW9MC,41,FALSE
buunk2011intrasexual,intrasexual competition within organizations,3fE2CSJIrl8C,25,FALSE
buunk2012parental,parental control over mate choice to prevent marriages with outgroup members a study among mestizos,hFOr9nPyWt4C,27,FALSE
cheyne2021diabetes,egocentric network characteristics of persons with type 1 diabetes,t7zJ5fGR-2UC,11,FALSE
cobey2011estrogen,hormonal birth control use and relationship jealousy evidence for estrogen dosage effects,UebtZRa9Y70C,88,FALSE
cobey2012jealousy,reported jealousy differs as a function of menstrual cycle stage and contraceptive pill use a withinsubjects investigation,QIV2ME_5wuYC,83,FALSE
cobey2013cycling,sex differences in risk taking behavior among dutch,k_IJM867U9cC,134,FALSE
cobey2013ovulation,men perceive their female partners and themselves as more attractive around ovulation,BqipwSGYUEgC,56,FALSE
conway2015soulmate,finding your soulmate homosexual and heterosexual age preferences in online dating,_xSYboBqXhAC,52,FALSE
cook2023comedy,gendered performances womens impression management in standup comedy,a9-T7VOCCH8C,11,FALSE
cook2025acting,acting gender actors experiences of gender role conformity and hopes for their characters,_5tno0g5mFcC,1,FALSE
cook2025comedy,in search of a professional image how women comedians engage gender in their work,wMgC3FpKEyYC,0,FALSE
cornelissen2019bodyimage,are attitudinal and perceptual body image the same or different evidence from highlevel adaptation,kzcrU_BdoSEC,45,FALSE
dalley2012restraint,dietary restraint in college women fear of an imperfect fat self is stronger than hope of a perfect thin self,qUcmZB5y_30C,47,FALSE
dalley2013bodydissatisfaction,body size and body dissatisfaction in women the mediating role of possible self expectancy,isC4tDSrTZIC,20,FALSE
delaney2024incels,the mental wellbeing of involuntary celibates,dBIO0h50nwkC,25,FALSE
devries2016hexaco,evolution situational affordances and the hexaco,xtRiw3GOFMkC,217,FALSE
elder2020sleep,experienced demand does not affect subsequent sleep and the cortisol awakening response,uJ-U7cs_P_0C,2,FALSE
finister2024nerdy,an exploratory factor analysis of the nerdy personality attributes scale,hkOj_22Ku90C,13,FALSE
grugan2026nss,optimising crossinstitutional comparisons in largescale student surveys an illustration with the national student survey nss,43bX7VzcjpAC,0,FALSE
haigh2020scientists,does scientists believe imply all scientists believe individual differences in the interpretation of generic news headlines,yB1At4FlUx8C,10,FALSE
herberich2010reevaluation,a reevaluation of the model selection procedure in pollet nettle 2009,LkGwnXOMwfcC,18,FALSE
hill2014disorder,disorder affects judgements about a neighbourhood police presence does not,O3NaXMp0MMsC,15,FALSE
hill2014socialcapital,social capital across urban neighborhoods a comparison of selfreport and observational data,NaGl4SEjCO4C,75,FALSE
irvine2019bodyschema,distorted body image influences body schema in individuals with negative bodily attitudes,WA5NYHcadZ8C,143,FALSE
irvine2019visual,the visual cues that drive the selfassessment of body size dissociation between fixation patterns and the key areas of the body for accurate judgement,WqliGbK-hY8C,37,FALSE
irwing2020comedians,comedians mean level and stage personalities evidence for goaldirected personality adaptation,W5xh706n7nkC,14,FALSE
jokela2011personality,reproductive behavior and personality traits of the five factor model,KlAtU1dfN6UC,220,FALSE
klavina2011outgroup,outgroup mating threat and disease threat increase implicit negative attitudes toward the outgroup among men,ULOm3_A8WrAC,24,FALSE
knapen2017formidability,size skills and suffrage motivated distortions in perceived formidability of political leaders,LPZeul_q3PIC,15,FALSE
knapen2019bigger,when better seems bigger perceived performance of adult professional football players is positively associated with perceptions of their body size,PR6Y55bgFSsC,11,FALSE
kuppens2012anger,emotions in context anger causes ethnic bias but not gender bias in men but not women,mVmsd5A6BfQC,20,FALSE
kuppens2014level,mind the level problems with two recent nationlevel analyses in psychology,M05iB0D1s5AC,48,FALSE
kuppens2015olympics,gender equality probably does not affect performance at the olympic games,a0OBvERweLwC,15,FALSE
linden2024pubbias,publication bias in psychology a closer look at the correlation between sample size and effect size,IRz6iEL74y4C,17,FALSE
lloyd2021ssei,a metaanalysis of the reliability of the sexual selfesteem inventory for women sseiw,z_wVstp3MssC,8,FALSE
ludwig2014sizeillusions,when men appear smaller or larger than they really are preliminary evidence that women are fooled by size illusions in attractiveness judgment tasks,g5m5HwL7SMYC,5,FALSE
malcolm2021extraversion,extraversion is associated with advice network size but not network density or emotional closeness to network members,j8SEvjWlNXcC,29,FALSE
manesi2015eyespots,the potential role of eyespots for aesthetic preferences and conservation attitudes towards butterflies,EUQCXRtRnyEC,50,FALSE
manesi2016eyeswide,eyes wide open only eyes that pay attention promote prosocial behavior,CHSYGLWDkRkC,102,FALSE
manesi2017lostletter,no support for the watching eyes effect across three lost letter field experiments,l7t_Zn2s7bgC,14,FALSE
manesi2019typhoon,what are the most powerful predictors of charitable giving to victims of typhoon haiyan,eflP2zaiRacC,90,FALSE
martin2019empathy,a preliminary investigation into the relationship between empathy autistic like traits and emotion recognition,5ugPr518TE4C,14,FALSE
mccarrick2020referee,referee height influences decision making in british,ZfRJV9d4-WMC,31,FALSE
mcfarland2017weakties,the strength of weak ties among female baboons fitnessrelated benefits of social bonds,K3LRdlH-MEoC,150,FALSE
metcalfe2019emotion,emotion recognition from body movement and gesture in children with autism spectrum disorder,AXPGKjj_ei8C,43,FALSE
metcalfe2022emotion,an exploration of the impact of contextual information on the emotion recognition ability of autistic adults,hCrLmN-GePgC,11,FALSE
mo2014bodysize,perceptions of female body size and shape in china,GnPB-g6toBAC,23,FALSE
molho2016hexaco,the six dimensions of personality hexaco,1sJd4Hv_s6UC,34,FALSE
